task	target_id	length	states	samples_per_model	simplefold_models	min_reference_identity	min_CA_coverage	metadata_source
cameo22	7vqk_a	199	1	1	6	1.000000	0.969849	cameo2022.csv
cameo22	7vr2_a	344	1	1	6	1.000000	0.979651	cameo2022.csv
cameo22	7vrf_a	71	1	1	6	1.000000	0.859155	cameo2022.csv
cameo22	7vt4_a	468	1	1	6	1.000000	0.935897	cameo2022.csv
cameo22	7vt5_a	340	1	1	6	1.000000	0.914706	cameo2022.csv
cameo22	7vyu_a	356	1	1	6	1.000000	0.949438	cameo2022.csv
cameo22	7w06_a	292	1	1	6	1.000000	0.688356	cameo2022.csv
cameo22	7w16_a	303	1	1	6	1.000000	0.871287	cameo2022.csv
cameo22	7w42_b	425	1	1	6	1.000000	0.945882	cameo2022.csv
cameo22	7w52_b	148	1	1	6	1.000000	0.945946	cameo2022.csv
cameo22	7w6x_a	458	1	1	6	1.000000	0.973799	cameo2022.csv
cameo22	7w7h_e	277	1	1	6	1.000000	1.000000	cameo2022.csv
cameo22	7w89_a	136	1	1	6	1.000000	0.904412	cameo2022.csv
cameo22	7w8u_a	369	1	1	6	1.000000	0.940379	cameo2022.csv
cameo22	7wa9_a	148	1	1	6	1.000000	0.952703	cameo2022.csv
cameo22	7wbn_a	98	1	1	6	1.000000	1.000000	cameo2022.csv
cameo22	7wf6_a	152	1	1	6	1.000000	0.953947	cameo2022.csv
cameo22	7wf8_b	131	1	1	6	1.000000	0.977099	cameo2022.csv
cameo22	7wf9_a	126	1	1	6	1.000000	0.976190	cameo2022.csv
cameo22	7wfx_a	507	1	1	6	1.000000	0.972387	cameo2022.csv
cameo22	7whf_g	284	1	1	6	1.000000	0.795775	cameo2022.csv
cameo22	7wj0_a	52	1	1	6	1.000000	0.942308	cameo2022.csv
cameo22	7wjt_b	64	1	1	6	1.000000	0.937500	cameo2022.csv
cameo22	7wq5_a	252	1	1	6	1.000000	0.682540	cameo2022.csv
cameo22	7wua_a	604	1	1	6	1.000000	0.998344	cameo2022.csv
cameo22	7x0g_a	292	1	1	6	1.000000	0.986301	cameo2022.csv
cameo22	7x0q_a	370	1	1	6	1.000000	0.978378	cameo2022.csv
cameo22	7x0r_b	334	1	1	6	1.000000	0.937126	cameo2022.csv
cameo22	7x15_a	262	1	1	6	0.996016	0.954198	cameo2022.csv
cameo22	7x1k_a	76	1	1	6	1.000000	0.907895	cameo2022.csv
cameo22	7x7w_a	288	1	1	6	1.000000	1.000000	cameo2022.csv
cameo22	7x8c_b	70	1	1	6	1.000000	1.000000	cameo2022.csv
cameo22	7xce_a	268	1	1	6	1.000000	0.917910	cameo2022.csv
cameo22	7xjt_b	336	1	1	6	1.000000	0.982143	cameo2022.csv
cameo22	7xtm_b	164	1	1	6	1.000000	0.853659	cameo2022.csv
cameo22	7y0i_a	56	1	1	6	1.000000	1.000000	cameo2022.csv
cameo22	7y39_b	139	1	1	6	1.000000	0.956835	cameo2022.csv
cameo22	7y3k_a	79	1	1	6	1.000000	0.683544	cameo2022.csv
cameo22	7y3w_a	444	1	1	6	0.997664	0.961712	cameo2022.csv
cameo22	7y4n_a	60	1	1	6	1.000000	1.000000	cameo2022.csv
cameo22	7y78_b	350	1	1	6	1.000000	0.974286	cameo2022.csv
cameo22	7y79_b	208	1	1	6	1.000000	0.937500	cameo2022.csv
cameo22	7y8u_e	395	1	1	6	1.000000	0.939241	cameo2022.csv
cameo22	7y9b_a	220	1	1	6	1.000000	0.850000	cameo2022.csv
cameo22	7ycv_a	63	1	1	6	1.000000	0.873016	cameo2022.csv
cameo22	7ymo_a	210	1	1	6	1.000000	0.980952	cameo2022.csv
cameo22	7yrt_c	138	1	1	6	1.000000	0.855072	cameo2022.csv
cameo22	7yta_b	151	1	1	6	1.000000	0.927152	cameo2022.csv
cameo22	7yvt_b	295	1	1	6	1.000000	0.962712	cameo2022.csv
cameo22	7yvz_a	85	1	1	6	1.000000	0.741176	cameo2022.csv
cameo22	7ywq_a	79	1	1	6	1.000000	1.000000	cameo2022.csv
cameo22	7z06_a	196	1	1	6	1.000000	0.923469	cameo2022.csv
cameo22	7zc8_a	87	1	1	6	1.000000	1.000000	cameo2022.csv
cameo22	7zgi_b	481	1	1	6	0.996835	0.654886	cameo2022.csv
cameo22	7zgm_a	709	1	1	6	1.000000	0.990127	cameo2022.csv
cameo22	7zk1_a	277	1	1	6	1.000000	0.877256	cameo2022.csv
cameo22	7zty_a	502	1	1	6	1.000000	0.673307	cameo2022.csv
cameo22	7zva_a	389	1	1	6	1.000000	0.861183	cameo2022.csv
cameo22	7zw9_a	210	1	1	6	1.000000	0.823810	cameo2022.csv
cameo22	8a28_a	382	1	1	6	1.000000	1.000000	cameo2022.csv
cameo22	8a4a_a	238	1	1	6	1.000000	0.869748	cameo2022.csv
cameo22	8ag9_a	512	1	1	6	1.000000	0.654297	cameo2022.csv
cameo22	8ajp_a	207	1	1	6	1.000000	0.961353	cameo2022.csv
cameo22	8b26_a	365	1	1	6	1.000000	0.983562	cameo2022.csv
cameo22	8b55_a	239	1	1	6	1.000000	0.807531	cameo2022.csv
cameo22	8b5t_a	230	1	1	6	1.000000	1.000000	cameo2022.csv
cameo22	8b5v_a	245	1	1	6	1.000000	0.995918	cameo2022.csv
cameo22	8b73_a	413	1	1	6	1.000000	0.980630	cameo2022.csv
cameo22	8cwp_a	354	1	1	6	1.000000	0.923729	cameo2022.csv
cameo22	8cxl_a	478	1	1	6	1.000000	0.985356	cameo2022.csv
cameo22	8d03_a	70	1	1	6	1.000000	0.928571	cameo2022.csv
cameo22	8d08_d	70	1	1	6	1.000000	0.957143	cameo2022.csv
cameo22	8d7f_a	368	1	1	6	1.000000	0.983696	cameo2022.csv
cameo22	8day_a	419	1	1	6	1.000000	0.949881	cameo2022.csv
cameo22	8dgg_a	426	1	1	6	1.000000	0.830986	cameo2022.csv
cameo22	8di0_c	516	1	1	6	1.000000	0.897287	cameo2022.csv
cameo22	8di1_a	226	1	1	6	1.000000	0.973451	cameo2022.csv
cameo22	8dkr_b	255	1	1	6	1.000000	0.972549	cameo2022.csv
cameo22	8doa_a	64	1	1	6	1.000000	1.000000	cameo2022.csv
cameo22	8ds5_a	164	1	1	6	1.000000	0.585366	cameo2022.csv
cameo22	8dt0_a	140	1	1	6	1.000000	1.000000	cameo2022.csv
cameo22	8dt6_c	384	1	1	6	1.000000	0.992188	cameo2022.csv
cameo22	8dte_a	183	1	1	6	1.000000	0.939891	cameo2022.csv
cameo22	8dys_a	603	1	1	6	1.000000	0.678275	cameo2022.csv
cameo22	8e8t_b	434	1	1	6	1.000000	0.940092	cameo2022.csv
cameo22	8e8u_c	452	1	1	6	1.000000	0.955752	cameo2022.csv
cameo22	8gxf_b	193	1	1	6	1.000000	0.968912	cameo2022.csv
cameo22	8qcw_a	466	1	1	6	1.000000	0.766094	RCSB 8QCW-A (revised SimpleFold target)
