task	target_id	length	states	samples_per_model	simplefold_models	min_reference_identity	min_CA_coverage	metadata_source
apo	1l0w_b	580	2	5	6	1.000000	1.000000	apo.csv
apo	1lip_a	91	2	5	6	1.000000	1.000000	apo.csv
apo	1lmz_a	187	2	5	6	1.000000	1.000000	apo.csv
apo	1mo7_a	213	2	5	6	1.000000	1.000000	apo.csv
apo	1mut_a	129	2	5	6	1.000000	1.000000	apo.csv
apo	1mx7_a	134	2	5	6	1.000000	1.000000	apo.csv
apo	1njg_b	250	2	5	6	1.000000	0.956000	apo.csv
apo	1ntr_a	124	2	5	6	1.000000	1.000000	apo.csv
apo	1o1u_a	127	2	5	6	1.000000	1.000000	apo.csv
apo	1orm_a	148	2	5	6	1.000000	1.000000	apo.csv
apo	1otj_d	283	2	5	6	1.000000	0.985866	apo.csv
apo	1pdb_a	186	2	5	6	1.000000	1.000000	apo.csv
apo	1pfl_a	139	2	5	6	1.000000	1.000000	apo.csv
apo	1rf5_a	427	2	5	6	1.000000	1.000000	apo.csv
apo	1rka_a	309	2	5	6	1.000000	0.987055	apo.csv
apo	1rkm_a	517	2	5	6	1.000000	1.000000	apo.csv
apo	1s2o_a	244	2	5	6	1.000000	1.000000	apo.csv
apo	1skt_a	90	2	5	6	1.000000	1.000000	apo.csv
apo	1sym_b	92	2	5	6	1.000000	1.000000	apo.csv
apo	1tfu_a	157	2	5	6	1.000000	1.000000	apo.csv
apo	1tjd_a	216	2	5	6	1.000000	1.000000	apo.csv
apo	1urp_d	271	2	5	6	1.000000	1.000000	apo.csv
apo	1viy_c	218	2	5	6	1.000000	0.954128	apo.csv
apo	1vr6_a	350	2	5	6	1.000000	0.965714	apo.csv
apo	1w0j_e	482	2	5	6	1.000000	0.966805	apo.csv
apo	1w4u_a	147	2	5	6	1.000000	1.000000	apo.csv
apo	1wd7_b	261	2	5	6	1.000000	0.973180	apo.csv
apo	1xsa_a	153	2	5	6	1.000000	1.000000	apo.csv
apo	1y3q_a	490	2	5	6	1.000000	1.000000	apo.csv
apo	1yl5_b	247	2	5	6	1.000000	0.991903	apo.csv
apo	1z15_a	344	2	5	6	1.000000	1.000000	apo.csv
apo	1za1_a	310	2	5	6	1.000000	1.000000	apo.csv
apo	1zol_a	221	2	5	6	1.000000	1.000000	apo.csv
apo	2ai6_a	125	2	5	6	1.000000	1.000000	apo.csv
apo	2cg7_a	90	2	5	6	1.000000	1.000000	apo.csv
apo	2cjo_a	97	2	5	6	1.000000	1.000000	apo.csv
apo	2d9e_a	121	2	5	6	1.000000	1.000000	apo.csv
apo	2f63_a	158	2	5	6	1.000000	1.000000	apo.csv
apo	2fhm_a	91	2	5	6	1.000000	1.000000	apo.csv
apo	2in2_a	182	2	5	6	1.000000	1.000000	apo.csv
apo	2ju3_a	127	2	5	6	1.000000	1.000000	apo.csv
apo	2jww_a	109	2	5	6	1.000000	1.000000	apo.csv
apo	2k43_a	133	2	5	6	1.000000	1.000000	apo.csv
apo	2kq2_a	147	2	5	6	1.000000	1.000000	apo.csv
apo	2kxl_a	142	2	5	6	1.000000	1.000000	apo.csv
apo	2l50_a	102	2	5	6	1.000000	1.000000	apo.csv
apo	2l68_a	126	2	5	6	1.000000	1.000000	apo.csv
apo	2lao_a	238	2	5	6	1.000000	1.000000	apo.csv
apo	2lhs_a	170	2	5	6	1.000000	1.000000	apo.csv
apo	2lkc_a	178	2	5	6	1.000000	1.000000	apo.csv
apo	2nln_a	108	2	5	6	1.000000	1.000000	apo.csv
apo	2p3m_a	136	2	5	6	1.000000	1.000000	apo.csv
apo	2rcs_h	217	2	5	6	1.000000	1.000000	apo.csv
apo	2uz5_a	137	2	5	6	1.000000	1.000000	apo.csv
apo	4ake_b	214	2	5	6	1.000000	1.000000	apo.csv
apo	4lp5_a	304	2	5	6	1.000000	0.990132	apo.csv
apo	6oy9_b	340	2	5	6	1.000000	0.997059	apo.csv
apo	7azp_a	550	2	5	6	0.994297	0.950909	apo.csv
